Time,Equipment_ID,Vibration(mm/s),Temperature(°C),Current(A),Runtime(hr)
2025-07-18 09:59:00,M005,-2.52,30.77,12.64,1038.0
2025-07-18 10:00:00,M006,-1.7128454066601826,29.43,11.34,877.0
2025-07-18 10:01:00,M004,-2.59,31.75,12.9,1060.0
2025-07-18 10:02:00,M004,-2.76,31.0,11.65,1041.0
2025-07-18 10:03:00,M008,-2.82,31.89,13.38,1145.0
2025-07-18 10:04:00,M008,-2.75,32.16,13.14,1152.0
2025-07-18 10:05:00,M009,-2.47,30.07,12.23,1059.0
2025-07-18 10:06:00,M003,-2.83,31.1,12.56,986.0
2025-07-18 10:07:00,M001,-2.15,30.96,12.62,1049.0
2025-07-18 10:08:00,M010,-3.74,30.36,11.75,976.0
2025-07-18 10:09:00,M009,-2.9,31.08,13.07,1151.0
2025-07-18 10:10:00,M006,-2.3,29.08,11.87,847.0
2025-07-18 10:11:00,M010,-3.67,32.0,14.48,1176.0
2025-07-18 10:12:00,M001,-3.36,32.39,12.85,1316.0
2025-07-18 10:13:00,M002,-2.35,31.27,12.7,1046.0
2025-07-18 10:14:00,M010,-3.54,32.4,12.61,1062.0
2025-07-18 10:15:00,M006,-1.758933848023362,32.07,13.3,1243.0
2025-07-18 10:16:00,M005,-3.4,31.22,11.87,1019.0
2025-07-18 10:17:00,M009,-3.5,32.37,12.18,1295.0
2025-07-18 10:18:00,M006,-3.7,31.4,12.92,1065.0
2025-07-18 10:19:00,M004,-3.82,31.7,12.61,1282.0
2025-07-18 10:20:00,M005,-2.48,32.65,12.46,1075.0
2025-07-18 10:21:00,M001,-2.42,31.76,12.98,1140.0
2025-07-18 10:22:00,M007,-2.2,31.2,13.21,1147.0
2025-07-18 10:23:00,M008,-2.43,32.5,13.19,980.0
2025-07-18 10:24:00,M002,-3.93,34.14,13.86,1253.0
2025-07-18 10:25:00,M006,-3.51,31.86,13.4,1124.0
2025-07-18 10:26:00,M007,-3.86,30.84,11.91,1013.0
2025-07-18 10:27:00,M001,-2.58,31.78,12.17,1051.0
2025-07-18 10:28:00,M008,-3.38,32.34,12.28,1228.0
2025-07-18 10:29:00,M007,-3.17,32.95,13.29,1225.0
2025-07-18 10:30:00,M006,-2.18,33.36,12.25,1222.0
2025-07-18 10:31:00,M002,-3.95,32.11,13.07,1232.0
2025-07-18 10:32:00,M010,-2.97,33.0,13.49,1277.0
2025-07-18 10:33:00,M005,-2.86,31.18,11.78,948.0
2025-07-18 10:34:00,M005,-2.32,31.64,12.49,1109.0
2025-07-18 10:35:00,M003,-2.85,33.82,14.63,1294.0
2025-07-18 10:36:00,M010,-3.39,33.15,13.83,1345.0
2025-07-18 10:37:00,M003,-2.4,30.33,11.6,859.0
2025-07-18 10:38:00,M002,-3.48,32.27,12.58,1207.0
2025-07-18 10:39:00,M008,-3.45,32.1,13.41,1114.0
2025-07-18 10:40:00,M004,-3.37,32.13,12.82,1062.0
2025-07-18 10:41:00,M002,-3.98,32.1,12.37,1219.0
2025-07-18 10:42:00,M004,-3.79,33.82,13.47,1392.0
2025-07-18 10:43:00,M001,-2.31,33.62,12.82,1324.0
2025-07-18 10:44:00,M010,-3.26,32.67,13.1,1276.0
2025-07-18 10:45:00,M004,-2.2,33.1,13.11,1019.0
2025-07-18 10:46:00,M004,-1.1430813287686048,35.18,13.72,1621.0
2025-07-18 10:47:00,M006,-2.83,32.33,13.33,1199.0
2025-07-18 10:48:00,M009,-3.67,33.11,12.96,1319.0
2025-07-18 10:49:00,M002,-2.66,33.34,13.33,1308.0
2025-07-18 10:50:00,M005,-3.22,33.78,13.51,1449.0
2025-07-18 10:51:00,M002,-2.75,33.32,13.1,1487.0
2025-07-18 10:52:00,M004,-3.1,33.31,13.16,1184.0
2025-07-18 10:53:00,M006,-2.65,33.74,13.0,1452.0
2025-07-18 10:54:00,M004,-2.74,31.57,11.82,1248.0
2025-07-18 10:55:00,M004,-3.66,33.37,13.42,1424.0
2025-07-18 10:56:00,M006,-3.41,32.81,13.84,1319.0
2025-07-18 10:57:00,M002,-3.23,32.5,13.49,1308.0
2025-07-18 10:58:00,M010,-2.74,33.3,12.92,1346.0
2025-07-18 10:59:00,M009,-3.37,34.34,14.47,1397.0
2025-07-18 11:00:00,M009,-3.51,33.75,14.37,1373.0
2025-07-18 11:01:00,M006,-3.05,34.23,13.85,1444.0
2025-07-18 11:02:00,M006,-2.97,33.81,13.77,1145.0
2025-07-18 11:03:00,M010,-2.05,33.99,13.12,1299.0
2025-07-18 11:04:00,M008,-3.39,34.95,14.47,1388.0
2025-07-18 11:05:00,M010,-2.4,31.04,11.27,1120.0
2025-07-18 11:06:00,M010,-2.68,33.95,13.9,1354.0
2025-07-18 11:07:00,M008,-2.36,32.8,12.45,1124.0
2025-07-18 11:08:00,M005,-2.55,32.87,13.04,1300.0
2025-07-18 11:09:00,M007,-2.96,32.74,13.17,1188.0
2025-07-18 11:10:00,M004,-3.2,34.83,13.76,1367.0
2025-07-18 11:11:00,M005,-3.65,34.65,13.62,1236.0
2025-07-18 11:12:00,M009,-3.38,33.73,13.83,1395.0
2025-07-18 11:13:00,M009,-3.98,32.39,12.71,1292.0
2025-07-18 11:14:00,M004,-3.08,33.85,14.2,1272.0
2025-07-18 11:15:00,M005,-3.55,34.26,14.02,1191.0
2025-07-18 11:16:00,M007,-3.92,34.87,14.95,1539.0
2025-07-18 11:17:00,M007,-2.81,34.39,13.81,1407.0
2025-07-18 11:18:00,M005,-2.91,33.4,13.04,1250.0
2025-07-18 11:19:00,M007,-2.86,34.94,14.26,1441.0
2025-07-18 11:20:00,M005,-3.82,33.52,13.11,1439.0
2025-07-18 11:21:00,M004,-2.17,33.29,13.42,1284.0
2025-07-18 11:22:00,M004,-2.55,34.1,13.3,1569.0
2025-07-18 11:23:00,M009,-3.53,32.46,13.11,1034.0
2025-07-18 11:24:00,M005,-3.31,33.91,13.81,1373.0
2025-07-18 11:25:00,M001,-3.9,36.48,14.56,1509.0
2025-07-18 11:26:00,M001,-3.82,35.51,14.85,1606.0
2025-07-18 11:27:00,M008,-2.42,34.81,13.96,1432.0
2025-07-18 11:28:00,M008,-2.05,33.34,13.13,1224.0
2025-07-18 11:29:00,M006,-3.22,35.34,14.62,1579.0
2025-07-18 11:30:00,M008,-3.11,35.09,13.87,1572.0
2025-07-18 11:31:00,M006,-2.55,36.16,14.65,1565.0
2025-07-18 11:32:00,M001,-2.96,34.03,13.13,1276.0
2025-07-18 11:33:00,M001,-3.79,34.83,13.37,1602.0
2025-07-18 11:34:00,M004,-3.87,36.43,14.8,1415.0
2025-07-18 11:35:00,M005,-3.9,33.82,13.42,1376.0
2025-07-18 11:36:00,M003,-2.34,36.38,14.46,1489.0
2025-07-18 11:37:00,M003,-3.56,36.16,15.01,1475.0
2025-07-18 11:38:00,M001,-2.6,35.34,14.96,1426.0
2025-07-18 11:39:00,M002,-3.43,37.0,15.16,1724.0
2025-07-18 11:40:00,M007,-3.08,35.74,13.96,1662.0
2025-07-18 11:41:00,M010,-3.96,35.88,14.29,1516.0
2025-07-18 11:42:00,M005,-2.25,34.67,13.19,1367.0
2025-07-18 11:43:00,M004,-2.61,38.56,15.81,1791.0
2025-07-18 11:44:00,M008,-3.08,38.06,14.78,1768.0
2025-07-18 11:45:00,M002,-2.48,34.2,13.9,1370.0
2025-07-18 11:46:00,M006,-3.05,35.93,14.32,1629.0
2025-07-18 11:47:00,M005,-2.29,35.45,13.13,1503.0
2025-07-18 11:48:00,M003,-2.29,35.29,14.14,1482.0
2025-07-18 11:49:00,M002,-3.82,37.08,15.42,1609.0
2025-07-18 11:50:00,M003,-2.23,36.38,15.11,1734.0
2025-07-18 11:51:00,M004,-2.97,34.04,14.27,1249.0
2025-07-18 11:52:00,M002,-2.77,36.32,15.21,1558.0
2025-07-18 11:53:00,M002,-2.98,34.5,14.82,1529.0
2025-07-18 11:54:00,M003,-2.12,35.46,13.69,1465.0
2025-07-18 11:55:00,M004,-3.18,36.21,14.34,1629.0
2025-07-18 11:56:00,M009,-3.74,34.69,14.27,1360.0
2025-07-18 11:57:00,M007,-3.26,34.91,13.9,1472.0
2025-07-18 11:58:00,M001,-3.89,36.16,14.26,1553.0
2025-07-18 11:59:00,M005,-2.36,36.78,15.15,1533.0
2025-07-18 12:00:00,M006,-2.15,34.85,13.81,1562.0
2025-07-18 12:01:00,M001,-3.81,36.3,14.11,1598.0
2025-07-18 12:02:00,M006,-3.43,35.24,14.26,1698.0
2025-07-18 12:03:00,M003,-5.215064166396649,36.53,14.16,1635.0
2025-07-18 12:04:00,M006,-3.47,36.52,15.17,1562.0
2025-07-18 12:05:00,M007,-3.07,36.8,15.08,1712.0
2025-07-18 12:06:00,M008,-2.77,35.85,14.13,1605.0
2025-07-18 12:07:00,M009,-2.86,34.64,14.1,1277.0
2025-07-18 12:08:00,M002,-3.49,37.0,14.5,1631.0
2025-07-18 12:09:00,M009,-2.45,36.58,15.25,1445.0
2025-07-18 12:10:00,M002,-3.82,35.61,13.99,1599.0
2025-07-18 12:11:00,M005,-2.2,36.77,14.38,1628.0
2025-07-18 12:12:00,M006,-2.03,36.51,14.77,1590.0
2025-07-18 12:13:00,M008,-3.8,35.46,13.55,1397.0
2025-07-18 12:14:00,M007,-3.06,36.71,14.76,1695.0
2025-07-18 12:15:00,M006,-2.17,38.45,15.17,1727.0
2025-07-18 12:16:00,M010,-3.51,36.48,13.84,1562.0
2025-07-18 12:17:00,M009,-3.75,36.64,14.36,1542.0
2025-07-18 12:18:00,M009,-2.86,38.75,15.94,2034.0
2025-07-18 12:19:00,M007,-3.4,37.33,14.22,1565.0
2025-07-18 12:20:00,M007,-3.6,36.8,14.66,1690.0
2025-07-18 12:21:00,M006,-2.39,38.63,15.41,1973.0
2025-07-18 12:22:00,M010,-2.98,35.86,14.82,1519.0
2025-07-18 12:23:00,M007,-3.54,39.04,14.69,1852.0
2025-07-18 12:24:00,M005,-2.77,37.39,14.69,1859.0
2025-07-18 12:25:00,M005,-3.47,37.75,14.3,1598.0
2025-07-18 12:26:00,M004,-2.89,35.43,13.5,1543.0
2025-07-18 12:27:00,M005,-3.25,36.97,15.32,1752.0
2025-07-18 12:28:00,M002,-2.59,35.88,14.32,1535.0
2025-07-18 12:29:00,M001,-3.17,35.04,14.23,1649.0
2025-07-18 12:30:00,M004,-3.6,37.79,15.08,1608.0
2025-07-18 12:31:00,M004,-2.97,40.13,15.84,1993.0
2025-07-18 12:32:00,M006,-3.25,37.35,14.47,1638.0
2025-07-18 12:33:00,M010,-2.06,38.07,14.92,1856.0
2025-07-18 12:34:00,M008,-3.51,37.28,15.4,1619.0
2025-07-18 12:35:00,M009,-3.84,35.58,14.28,1423.0
2025-07-18 12:36:00,M010,-3.53,36.85,14.82,1728.0
2025-07-18 12:37:00,M006,-2.29,35.34,13.99,1434.0
2025-07-18 12:38:00,M002,-3.09,37.93,14.45,1814.0
2025-07-18 12:39:00,M006,-2.08,39.16,16.11,1844.0
2025-07-18 12:40:00,M004,-3.05,39.97,15.85,1969.0
2025-07-18 12:41:00,M004,-2.45,37.7,15.52,1693.0
2025-07-18 12:42:00,M002,-3.41,38.08,14.84,1913.0
2025-07-18 12:43:00,M005,-4.720251972498083,39.54,15.91,1861.0
2025-07-18 12:44:00,M008,-3.6,38.51,15.72,1771.0
2025-07-18 12:45:00,M006,-3.15,36.97,14.52,1704.0
2025-07-18 12:46:00,M002,-2.26,38.42,15.17,1798.0
2025-07-18 12:47:00,M002,-2.24,38.91,14.88,1973.0
2025-07-18 12:48:00,M010,-3.35,38.26,15.12,1770.0
2025-07-18 12:49:00,M010,-2.24,37.88,14.73,1754.0
2025-07-18 12:50:00,M010,-2.16,38.93,14.82,1918.0
2025-07-18 12:51:00,M008,-2.83,37.64,14.8,1702.0
2025-07-18 12:52:00,M003,-2.12,37.44,15.55,1847.0
2025-07-18 12:53:00,M005,-2.37,38.55,14.68,1789.0
2025-07-18 12:54:00,M006,-3.49,41.01,16.0,2219.0
2025-07-18 12:55:00,M007,-2.9791350344850107,38.46,14.85,1892.0
2025-07-18 12:56:00,M006,-3.67,37.92,15.97,1657.0
2025-07-18 12:57:00,M001,-3.02,38.39,15.1,1760.0
2025-07-18 12:58:00,M005,-2.47,38.93,16.17,1890.0
2025-07-18 12:59:00,M006,-2.14,39.94,15.89,1852.0
2025-07-18 13:00:00,M004,-2.63,38.93,16.09,1654.0
2025-07-18 13:01:00,M008,-3.42,39.63,15.35,2107.0
2025-07-18 13:02:00,M005,-3.59,38.37,15.69,1852.0
2025-07-18 13:03:00,M004,-2.45,37.41,15.02,1711.0
2025-07-18 13:04:00,M007,-2.68,38.52,15.54,1698.0
2025-07-18 13:05:00,M002,-5.56954813927852,39.74,16.49,1910.0
2025-07-18 13:06:00,M010,-3.3,39.72,16.5,1966.0
2025-07-18 13:07:00,M010,-2.71,37.83,15.19,1953.0
2025-07-18 13:08:00,M007,-3.42,40.11,16.42,2104.0
2025-07-18 13:09:00,M006,-2.16,39.28,16.1,1833.0
2025-07-18 13:10:00,M001,-3.58,40.02,16.41,1913.0
2025-07-18 13:11:00,M002,-3.78,37.8,15.51,1634.0
2025-07-18 13:12:00,M004,-3.04,39.69,15.25,1953.0
2025-07-18 13:13:00,M005,-3.12,39.29,15.4,1862.0
2025-07-18 13:14:00,M009,-3.11,38.56,14.67,2122.0
2025-07-18 13:15:00,M002,-3.36,38.17,15.68,1983.0
2025-07-18 13:16:00,M005,-3.18,40.18,15.92,2032.0
2025-07-18 13:17:00,M010,-3.89,39.6,16.84,1961.0
2025-07-18 13:18:00,M007,-2.74,38.9,14.91,1914.0
2025-07-18 13:19:00,M002,-2.05,41.26,16.73,2129.0
2025-07-18 13:20:00,M003,-2.67,40.57,15.74,2070.0
2025-07-18 13:21:00,M007,-2.23,38.8,15.55,1775.0
2025-07-18 13:22:00,M001,-3.19,37.56,15.25,1720.0
2025-07-18 13:23:00,M001,-3.57,37.55,15.75,1835.0
2025-07-18 13:24:00,M010,-2.17,38.64,16.08,1913.0
2025-07-18 13:25:00,M004,-3.35,39.71,16.23,2082.0
2025-07-18 13:26:00,M010,-3.9,39.02,15.37,1948.0
2025-07-18 13:27:00,M007,-3.6,40.45,16.13,1956.0
2025-07-18 13:28:00,M005,-3.57,39.09,15.81,2031.0
2025-07-18 13:29:00,M002,-2.22,39.01,15.75,1906.0
2025-07-18 13:30:00,M009,-3.81,40.51,16.39,2011.0
2025-07-18 13:31:00,M008,-2.85,40.86,16.63,2046.0
2025-07-18 13:32:00,M007,-2.05,40.89,16.99,2113.0
2025-07-18 13:33:00,M009,-3.96,40.42,16.34,2004.0
2025-07-18 13:34:00,M009,-2.41,39.56,15.46,2027.0
2025-07-18 13:35:00,M002,-2.52,40.44,15.68,2007.0
2025-07-18 13:36:00,M006,-2.33,42.97,16.82,2372.0
2025-07-18 13:37:00,M005,-2.51,40.09,15.4,2165.0
2025-07-18 13:38:00,M001,-3.03,38.78,15.53,1832.0
2025-07-18 13:39:00,M010,-3.71,41.49,16.84,2044.0
2025-07-18 13:40:00,M005,-3.3,42.62,16.61,2224.0
2025-07-18 13:41:00,M001,-2.92,40.55,15.79,1997.0
2025-07-18 13:42:00,M001,-3.53,39.83,15.98,2031.0
2025-07-18 13:43:00,M009,-2.55,40.86,16.4,1858.0
2025-07-18 13:44:00,M002,-3.06,40.69,16.81,2208.0
2025-07-18 13:45:00,M010,-2.48,39.96,15.82,2057.0
2025-07-18 13:46:00,M007,-3.13,39.27,16.29,2018.0
2025-07-18 13:47:00,M007,-2.81,40.9,15.68,2049.0
2025-07-18 13:48:00,M003,-3.37,41.1,15.75,2229.0
2025-07-18 13:49:00,M005,-2.54,41.81,16.98,2017.0
2025-07-18 13:50:00,M010,-2.23,40.96,16.99,2205.0
2025-07-18 13:51:00,M008,-2.86,40.48,16.02,2049.0
2025-07-18 13:52:00,M001,-2.75,41.75,16.04,2264.0
2025-07-18 13:53:00,M006,-3.1,39.81,16.39,1970.0
2025-07-18 13:54:00,M006,-3.29,42.1,17.24,2345.0
2025-07-18 13:55:00,M001,-2.07,40.01,15.84,1899.0
2025-07-18 13:56:00,M007,-2.5,41.38,16.79,2096.0
2025-07-18 13:57:00,M006,-3.3,40.14,16.43,2180.0
2025-07-18 13:58:00,M004,-2.44,41.73,17.48,2149.0
2025-07-18 13:59:00,M001,-2.71,42.39,16.77,2283.0
2025-07-18 14:00:00,M005,-3.58,38.83,14.99,1793.0
2025-07-18 14:01:00,M004,-3.08,41.95,16.22,2050.0
2025-07-18 14:02:00,M002,-2.51,41.44,16.85,2334.0
2025-07-18 14:03:00,M001,-3.68,41.38,15.98,2164.0
2025-07-18 14:04:00,M009,-2.21,40.7,16.17,2082.0
2025-07-18 14:05:00,M009,-3.86,41.91,17.9,2089.0
2025-07-18 14:06:00,M007,-3.03,41.01,16.24,2037.0
2025-07-18 14:07:00,M004,-2.16,40.6,15.68,1994.0
2025-07-18 14:08:00,M007,-3.94,41.2,15.79,2225.0
2025-07-18 14:09:00,M006,-3.84,41.78,16.9,2104.0
2025-07-18 14:10:00,M004,-3.34,41.94,16.7,2220.0
2025-07-18 14:11:00,M010,-2.92,40.53,15.9,2058.0
2025-07-18 14:12:00,M001,-2.75,41.04,16.61,2224.0
2025-07-18 14:13:00,M002,-2.2,41.04,16.84,2111.0
2025-07-18 14:14:00,M001,-3.41,41.46,17.52,2021.0
2025-07-18 14:15:00,M005,-3.44,42.37,16.61,2285.0
2025-07-18 14:16:00,M002,-3.3,41.35,16.05,2149.0
2025-07-18 14:17:00,M009,-3.87,40.46,15.91,2000.0
2025-07-18 14:18:00,M001,-2.15,41.06,17.23,2098.0
2025-07-18 14:19:00,M006,-3.07,41.4,15.87,2119.0
2025-07-18 14:20:00,M001,-2.24,41.39,16.52,2026.0
2025-07-18 14:21:00,M007,-3.14,42.64,17.36,2342.0
2025-07-18 14:22:00,M010,-2.42,40.82,16.34,2078.0
2025-07-18 14:23:00,M009,-2.53,43.32,17.89,2475.0
2025-07-18 14:24:00,M001,-3.48,41.32,16.53,1961.0
2025-07-18 14:25:00,M010,-3.72,41.6,16.98,2203.0
2025-07-18 14:26:00,M007,-3.1,42.94,17.91,2440.0
2025-07-18 14:27:00,M007,-2.65,42.25,17.19,2336.0
2025-07-18 14:28:00,M003,-2.05,42.2,16.79,2295.0
2025-07-18 14:29:00,M006,-2.65,40.99,16.87,2150.0
2025-07-18 14:30:00,M010,-3.98,41.54,15.92,2210.0
2025-07-18 14:31:00,M003,-3.23,43.08,17.89,2351.0
2025-07-18 14:32:00,M006,-2.18,41.37,16.34,2251.0
2025-07-18 14:33:00,M008,-2.83,44.06,16.99,2479.0
2025-07-18 14:34:00,M008,-2.08,42.51,16.72,2276.0
2025-07-18 14:35:00,M008,-2.939700775465636,41.27,15.85,2070.0
2025-07-18 14:36:00,M010,-3.39,42.8,17.32,2282.0
2025-07-18 14:37:00,M001,-3.59,43.71,17.23,2468.0
2025-07-18 14:38:00,M001,-3.77,41.53,16.85,2301.0
2025-07-18 14:39:00,M004,-3.03,42.6,17.57,2364.0
2025-07-18 14:40:00,M005,-3.68,42.27,16.84,2147.0
2025-07-18 14:41:00,M009,-2.4,44.0,17.68,2526.0
2025-07-18 14:42:00,M009,-3.14,43.15,17.09,2082.0
2025-07-18 14:43:00,M002,-2.61,43.41,16.77,2288.0
2025-07-18 14:44:00,M002,-3.49,44.16,17.64,2411.0
2025-07-18 14:45:00,M006,-3.74,44.75,17.88,2320.0
2025-07-18 14:46:00,M006,-3.55,45.24,18.04,2416.0
2025-07-18 14:47:00,M005,-2.47,43.21,16.38,2228.0
2025-07-18 14:48:00,M004,-2.69,43.67,18.69,2323.0
2025-07-18 14:49:00,M002,-2.36,42.96,16.95,2411.0
2025-07-18 14:50:00,M005,-3.49,43.68,18.19,2610.0
